AUTHORITARIANISM,SOCIALDOM,CRTScore3,CONSPIRACY,PARANOIA,CLOC,POLOC,ILOC,TRUSTState,ALT,Uk$Agreeableness,Uk$Conscientiousness,Uk$Neuroticism,Uk$Openness,Uk$Extraversion,Uk$MIGRANT1,Uk$MIGRANT2,Uk$COVID_Infected_Self_Binary,Uk$COVID_Infected_Rel_Binary,Uk$VAX,Uk$Sex,Uk$Employ_Binary,Uk$Education_Binary,Uk$TRUST6,Uk$TRUST7
30,32,0,30,16,12,12,12,15,27,7,6,7,6,4,5,5,0,0,0,0,0,1,3,5
25,27,0,55,5,18,10,10,10,36,6,9,6,9,10,1,1,0,0,1,0,1,1,5,5
31,34,0,29,17,12,14,13,14,18,4,5,10,7,6,6,4,0,0,1,0,1,1,3,4
33,16,1,23,12,15,13,11,13,18,9,8,2,8,8,7,3,0,0,1,1,1,1,4,4
26,25,1,52,22,6,13,9,14,35,7,9,8,4,4,7,7,0,0,1,1,1,1,5,5
35,18,0,53,18,10,12,14,7,34,8,6,6,7,3,3,3,0,0,0,1,0,1,3,4
40,19,3,40,5,8,17,9,13,33,7,8,4,4,5,10,8,0,1,1,1,1,1,4,4
30,26,0,32,5,12,15,8,15,20,8,9,3,4,6,5,6,0,0,1,1,1,1,4,4
27,27,0,39,18,20,15,14,9,15,8,9,10,8,7,1,1,0,0,1,0,1,0,2,3
30,32,1,49,25,21,9,9,25,45,6,6,6,6,2,10,10,1,0,1,0,1,1,5,5
30,32,2,30,15,11,11,12,16,27,6,7,6,6,5,7,6,0,0,1,1,1,1,3,3
28,18,2,37,9,15,13,11,18,32,7,6,8,3,5,8,8,0,0,0,0,1,1,3,3
27,18,0,45,12,3,17,9,12,33,9,10,5,7,4,3,1,1,0,1,1,1,1,5,5
30,32,1,30,13,12,12,12,15,27,6,7,5,6,6,7,7,0,0,1,1,1,1,3,3
30,32,0,28,12,13,13,12,15,26,8,7,6,6,5,6,8,0,0,1,0,1,0,2,4
22,22,0,31,17,15,13,11,7,13,7,8,8,6,5,3,3,0,0,1,0,1,1,2,2
26,23,1,35,13,14,15,12,15,34,7,6,5,8,6,7,6,0,0,1,0,1,0,4,4
32,31,0,27,5,3,12,14,18,31,10,10,2,8,8,10,10,0,0,1,1,1,1,5,5
33,21,2,37,20,16,10,10,15,41,6,6,5,8,6,10,10,0,0,1,1,1,1,4,4
27,32,0,38,13,9,15,7,11,26,6,6,8,6,4,8,5,0,0,1,0,1,1,4,4
21,30,0,19,9,9,15,11,12,30,6,5,6,5,5,9,4,0,0,0,1,0,0,4,3
30,32,2,30,18,12,12,12,15,27,6,6,6,6,6,6,6,0,0,0,0,1,1,3,3
32,9,3,37,13,10,14,10,15,40,9,8,10,7,4,8,8,1,1,1,0,1,1,4,4
34,21,2,34,9,15,5,12,17,36,7,9,9,7,6,7,6,0,0,1,0,1,1,5,4
36,34,1,31,15,13,9,12,15,28,3,7,4,3,4,7,6,0,0,0,0,1,1,3,4
26,33,0,44,13,14,12,10,17,27,3,5,5,9,6,7,8,0,0,0,1,1,1,2,3
34,18,1,38,6,9,14,10,15,36,10,7,3,7,6,9,8,0,0,1,0,1,1,4,5
30,28,0,25,13,13,11,14,16,17,7,7,4,6,6,8,8,0,0,0,0,1,1,4,4
20,12,0,43,22,12,8,15,10,27,8,8,6,7,4,7,4,0,0,1,0,1,1,3,3
41,17,0,32,8,8,16,9,14,35,7,8,7,5,5,9,8,0,1,1,0,1,1,4,5
39,8,3,31,14,10,10,19,8,36,8,7,10,10,9,5,4,0,1,1,0,1,1,4,4
24,29,0,42,18,15,11,10,14,38,7,6,7,6,3,1,4,0,0,0,1,1,1,2,1
33,41,0,41,8,9,15,13,18,22,6,9,7,4,3,6,5,0,0,1,0,1,1,4,4
26,32,1,30,17,10,13,11,12,31,7,5,6,7,7,7,8,0,0,1,1,1,1,3,2
33,36,0,23,17,12,11,12,10,30,7,8,6,6,6,5,7,0,0,1,0,1,1,2,2
30,20,0,41,20,12,15,11,15,27,8,7,9,8,6,6,7,0,0,0,0,1,1,4,4
32,32,0,34,16,12,12,12,15,36,8,6,6,6,6,6,6,0,0,0,1,1,1,3,3
27,21,1,35,15,13,14,11,17,30,6,5,10,6,3,6,7,0,0,1,0,1,1,4,4
46,8,2,23,14,17,14,10,8,43,5,10,8,10,7,8,10,0,0,1,0,1,1,4,4
24,21,0,33,13,9,13,14,6,32,7,8,8,6,5,8,9,0,0,1,0,0,1,4,4
39,10,0,49,18,13,15,10,9,22,6,8,10,7,3,8,8,0,0,0,0,0,1,3,3
20,15,1,39,20,12,12,10,14,41,6,8,9,7,4,1,10,0,0,1,1,1,1,3,5
31,17,1,43,25,13,12,13,13,27,2,5,9,6,5,7,8,0,0,0,0,0,1,3,3
32,38,0,33,15,18,8,9,12,24,6,7,6,2,3,3,3,0,0,1,0,1,1,3,3
24,29,0,29,15,15,10,12,6,26,8,6,7,7,6,6,6,0,0,1,1,1,1,2,2
31,19,0,38,18,11,12,9,10,34,5,8,9,7,6,5,7,0,0,1,0,1,1,3,3
37,19,3,37,19,14,19,10,24,28,4,8,6,7,3,9,9,0,0,1,1,1,1,5,5
25,18,1,35,12,12,12,12,15,31,8,7,8,9,7,7,5,0,0,1,0,1,1,4,5
30,32,0,34,22,18,11,9,10,35,5,7,7,6,3,9,8,1,0,1,1,1,1,2,2
26,32,1,45,20,18,10,10,10,36,6,6,6,6,4,9,9,0,0,1,0,1,1,2,2
37,14,0,32,9,12,13,14,11,34,8,5,10,8,5,7,7,0,0,1,0,0,1,3,3
31,26,0,30,14,11,13,10,14,33,7,7,9,5,5,4,7,0,0,1,0,1,1,3,4
27,22,2,33,9,14,15,10,12,40,6,6,6,7,4,3,8,0,0,1,0,1,1,5,5
36,32,2,40,14,11,12,13,12,32,6,6,6,6,6,7,7,0,0,0,0,1,1,3,3
41,11,0,44,21,19,19,11,9,21,4,7,9,9,7,8,8,0,0,1,0,1,1,4,4
35,31,0,37,18,14,10,13,16,38,8,8,8,8,6,8,8,0,0,1,0,1,1,5,5
30,19,0,36,16,10,14,10,10,35,9,10,7,9,7,8,6,0,0,0,0,1,1,4,4
30,9,0,44,20,12,15,12,7,36,10,8,6,6,7,7,8,0,0,1,0,1,1,5,5
24,33,0,39,15,14,13,13,15,26,7,6,7,5,5,9,2,0,0,0,0,1,1,2,3
38,13,0,33,8,11,16,11,10,38,8,6,5,9,8,7,9,0,0,0,0,0,1,3,4
24,19,3,39,13,16,14,10,16,33,6,5,7,6,5,7,5,0,0,1,0,1,1,4,4
30,32,0,30,15,12,12,12,16,27,6,6,6,6,6,5,5,0,0,1,0,1,1,4,4
42,25,2,40,9,8,16,10,11,32,7,8,8,6,4,4,10,0,0,0,0,1,1,4,4
27,28,0,14,16,13,12,12,13,31,7,7,7,6,5,6,7,0,0,1,0,1,1,3,4
32,27,0,31,19,12,10,11,16,29,5,4,7,5,4,4,7,0,0,1,1,1,1,5,5
34,30,1,30,11,13,12,11,17,45,8,8,7,6,4,7,8,0,0,0,0,1,1,4,5
30,32,0,45,20,15,11,11,15,36,6,6,6,6,4,9,8,0,0,1,1,1,1,3,3
12,20,0,55,23,15,9,12,7,42,4,7,8,4,5,8,10,0,0,1,0,1,0,3,5
32,24,2,32,16,10,14,10,15,29,7,8,8,6,4,6,7,0,0,0,0,1,1,4,4
32,22,1,35,20,18,12,11,9,18,2,9,5,9,6,6,6,1,0,0,0,1,1,2,3
48,14,0,54,20,13,16,12,9,42,9,9,9,6,3,10,10,0,0,1,0,1,1,4,4
29,26,3,30,15,12,12,12,15,27,7,6,6,6,5,5,5,0,0,1,1,1,1,3,3
39,13,1,43,16,13,17,14,12,38,6,5,7,6,6,6,6,0,0,1,0,1,1,4,4
40,9,1,39,19,12,18,11,14,40,4,7,10,9,6,6,5,0,1,0,0,1,1,2,3
30,21,3,39,10,7,14,11,19,29,8,8,5,6,4,6,7,0,0,1,1,1,1,4,5
35,30,0,30,15,12,12,12,20,20,6,6,6,6,6,7,7,0,0,0,0,1,1,4,4
21,27,1,47,15,9,12,11,17,27,7,10,4,6,4,8,7,0,0,1,1,1,1,4,5
22,26,0,38,25,15,9,14,5,12,5,6,10,10,6,5,5,0,0,0,0,0,1,1,1
31,16,1,38,12,8,10,10,14,35,9,8,8,6,4,6,3,0,0,0,0,1,1,5,5
29,15,3,35,16,15,11,15,13,34,6,6,9,8,6,7,7,0,0,1,0,1,1,5,5
34,18,0,38,20,10,11,13,18,37,9,8,7,7,4,5,8,0,0,0,0,1,1,4,5
27,30,0,39,6,11,15,11,13,31,9,10,6,6,6,4,6,0,0,0,0,1,1,3,4
31,9,0,55,21,14,11,12,10,41,5,5,9,4,4,7,6,0,0,0,0,1,1,3,4
28,32,0,55,16,5,14,15,18,27,5,5,10,4,4,4,4,0,0,1,1,0,1,4,3
27,27,0,49,22,4,15,11,5,15,8,10,2,6,3,1,1,0,0,1,1,1,1,3,2
48,28,1,20,10,10,11,15,15,32,7,4,5,6,6,1,1,0,0,0,3,0,0,2,2
42,14,0,39,16,4,11,11,5,23,7,2,10,7,3,10,10,1,1,0,1,1,1,2,2
31,18,0,35,12,12,16,11,10,27,8,7,9,6,4,5,4,0,0,0,0,1,1,4,4
26,35,3,23,14,15,17,11,13,25,8,8,4,4,7,8,7,1,0,1,0,1,1,4,4
30,19,2,30,20,18,10,10,10,14,6,10,2,9,6,1,8,0,0,1,0,1,1,2,2
27,22,2,31,8,9,14,11,16,43,8,8,7,7,5,4,5,0,0,1,0,1,1,3,4
33,26,2,36,16,11,9,17,11,30,6,8,3,8,8,5,7,0,0,0,1,1,1,4,5
35,15,3,28,7,10,12,14,12,36,8,6,6,6,6,7,9,0,0,1,0,1,1,4,4
31,36,0,30,18,15,13,10,10,33,5,7,9,7,5,8,6,0,0,0,0,1,1,2,2
32,32,0,29,21,14,10,12,15,27,4,6,8,6,6,5,5,0,0,0,0,1,1,3,3
38,19,0,41,15,13,10,10,10,42,7,6,3,5,6,5,8,0,0,1,0,1,1,4,4
38,16,0,40,10,4,18,11,9,29,6,10,8,7,7,7,8,0,0,0,0,1,1,5,5
38,18,0,40,14,18,9,14,11,35,8,6,4,6,3,3,8,0,1,1,0,0,1,4,5
35,25,0,30,20,16,8,12,13,27,4,4,6,6,6,5,5,0,0,1,0,1,1,3,3
38,38,0,39,18,9,13,8,14,15,6,7,7,5,5,6,6,0,0,1,0,1,1,5,4
30,28,2,36,17,15,12,12,16,30,6,9,7,6,4,7,7,0,0,1,1,1,1,4,4
33,21,0,31,17,11,11,12,13,30,5,6,10,5,2,7,7,0,0,1,0,1,1,5,5
37,9,2,14,5,14,18,13,14,37,7,4,5,7,3,10,10,0,0,1,0,0,1,5,5
41,9,3,31,5,13,13,12,15,29,6,6,5,4,4,10,10,0,0,1,1,1,1,5,5
35,32,0,30,21,13,13,9,15,27,6,6,6,6,7,8,8,0,0,1,0,1,1,3,3
34,15,1,42,10,14,15,13,11,37,8,7,5,6,4,7,6,0,0,1,0,1,1,4,4
27,13,0,39,10,10,16,9,14,40,9,7,8,7,4,6,8,0,0,0,0,1,1,3,3
42,12,1,39,19,15,15,14,7,20,4,10,3,8,5,4,8,0,0,1,3,1,1,5,4
30,32,0,30,15,12,12,12,18,27,6,6,6,6,6,5,6,0,0,0,0,1,1,4,4
31,36,0,27,15,12,12,12,15,27,6,6,6,6,6,6,5,0,0,0,1,1,1,3,3
41,14,1,26,9,9,16,13,8,31,5,6,5,9,8,5,8,0,0,0,0,1,1,4,4
38,19,0,26,15,14,10,12,17,24,8,6,5,6,3,8,7,0,0,1,1,1,1,4,5
28,32,0,31,15,12,12,12,19,26,6,6,6,6,6,5,5,0,0,0,0,1,1,3,3
29,21,0,38,14,14,12,11,13,32,8,7,5,9,7,7,8,0,0,0,0,1,1,4,4
31,27,0,42,13,9,14,9,10,33,9,10,5,7,6,4,5,0,0,0,0,1,1,3,3
27,35,0,39,15,11,12,12,12,28,6,6,6,6,6,3,5,0,0,1,0,1,1,3,3
23,24,0,33,10,13,14,10,20,36,9,8,2,5,6,8,8,0,0,0,1,1,1,4,4
30,9,2,33,16,13,20,14,8,27,7,5,7,6,4,8,7,0,0,0,0,1,1,4,5
25,13,0,50,17,11,16,10,21,28,8,6,4,6,6,9,4,0,0,0,0,1,1,5,5
28,32,0,41,16,14,10,10,13,32,8,6,7,8,6,8,5,0,0,1,0,1,1,3,3
28,26,2,25,14,11,14,10,19,42,8,6,5,7,5,9,9,0,0,0,1,1,1,4,4
38,22,1,51,18,14,11,11,9,33,8,8,5,8,5,8,6,0,0,0,1,1,1,4,4
34,35,0,44,19,15,9,15,6,19,6,7,4,9,7,5,5,0,0,0,0,1,1,3,4
38,12,2,35,18,16,13,13,8,36,3,6,9,10,9,10,10,0,0,1,0,1,1,4,4
31,32,3,36,18,11,11,12,10,35,8,6,6,4,4,9,8,0,0,1,0,1,1,5,5
33,9,0,46,18,16,18,8,10,29,5,6,9,6,3,4,9,1,0,1,0,1,1,3,2
26,21,1,38,12,10,10,12,16,42,6,7,7,6,3,7,6,0,0,1,1,1,1,3,4
39,13,0,44,16,13,11,12,11,40,6,8,8,6,4,8,9,0,0,1,0,0,1,4,3
35,16,3,33,17,11,14,11,15,25,5,8,9,6,8,7,7,0,0,1,0,1,1,4,4
31,35,0,20,14,11,16,13,17,19,6,6,8,5,6,6,5,0,0,1,0,0,1,2,3
18,8,2,50,21,18,12,12,13,18,6,7,6,7,4,1,1,1,0,1,0,1,1,5,5
36,25,0,30,12,12,12,11,10,36,6,6,5,6,5,5,7,0,0,0,1,0,1,3,4
31,29,0,33,20,15,9,11,11,35,7,5,7,7,4,7,10,0,1,1,1,0,1,3,3
27,15,0,40,9,7,14,12,17,36,6,10,5,5,7,7,10,0,0,1,0,0,1,5,5
32,23,0,35,18,18,10,13,14,35,7,4,8,7,3,7,7,0,0,0,0,1,1,4,4
26,9,0,40,5,3,15,12,13,35,9,6,6,4,4,8,10,0,0,1,0,0,1,3,4
28,20,0,38,12,13,9,13,17,34,9,6,5,5,3,2,4,0,0,1,0,1,1,2,4
32,34,0,30,15,12,12,12,10,27,6,7,4,6,7,6,6,0,0,0,0,1,1,3,3
30,33,1,47,25,13,10,10,12,37,10,10,3,10,10,10,10,0,0,1,0,0,1,4,2
30,8,0,38,9,6,14,8,10,34,6,8,5,4,3,8,8,0,0,1,0,1,1,2,4
32,19,1,32,18,13,18,10,17,22,4,6,9,4,3,7,7,0,0,1,0,1,1,5,5
30,33,3,31,17,9,14,12,10,31,7,6,6,5,4,7,6,0,0,0,0,1,1,4,4
30,32,0,30,15,12,12,12,6,27,6,6,6,6,6,5,5,0,0,0,1,1,1,1,2
38,8,0,50,14,10,16,13,9,24,5,7,10,3,5,8,8,0,0,1,0,1,1,5,4
30,32,0,30,15,9,13,13,20,27,6,6,6,6,6,5,5,0,0,1,1,1,1,4,4
30,32,0,35,15,11,12,14,10,25,6,7,4,6,6,7,7,0,0,1,1,1,1,4,5
36,13,0,54,21,14,7,10,13,38,9,10,3,7,6,7,6,0,0,1,0,1,1,5,4
33,36,0,27,12,18,10,12,14,28,6,3,6,8,8,8,5,0,0,0,1,1,1,2,3
30,11,1,55,19,16,6,9,8,36,5,8,9,7,3,6,5,0,0,1,0,1,1,3,3
40,9,1,38,15,13,12,12,11,22,8,7,8,7,6,8,10,0,0,1,0,1,1,4,4
28,24,0,43,18,19,15,12,18,42,10,5,10,7,3,5,1,0,0,1,0,1,1,4,5
30,8,0,30,5,11,13,12,18,36,8,5,9,10,7,7,7,0,0,0,0,1,1,4,4
30,28,0,34,19,15,11,11,23,29,6,6,7,6,5,8,7,0,0,0,0,1,1,3,4
31,25,1,34,21,11,15,9,6,21,7,7,9,7,4,2,5,0,0,0,0,0,1,5,5
41,23,0,45,12,13,10,11,8,12,5,6,8,5,6,5,7,0,0,1,0,1,1,3,4
