Sex,Education_Binary,Occupation_Binary,Authoritarianism1,Authoritarianism2,Authoritarianism3,Authoritarianism4,Authoritarianism5,Authoritarianism6,Social_Dominace1,Social_Dominance2,Social_Dominance3,Social_Dominance4,Social_Dominance5,Social_Dominance6,Social_Dominance7,Social_Dominance8,MigrantAttitudes1,MigrantAttitudes2,MigrantAttitudes3,IWAH1,IWAH2,IWAH3,IWAH4,IWAH5,IWAH6,IWAH7,IWAH8,IWAH9,Trust_Body1,Trust_Body2,Trust_Body3,Trust_Body4,Trust_Body5,Trust_Body6,Trust_Body7,Pregnant,Conspiracy_1,Conspiracy_2,Conspiracy_3,Conspiracy_4,Conspiracy_5,TRUST_1,TRUST_2,TRUST_3,TRUST_4,TRUST_5,TRUST_6,TRUST_7,TRUST_8,TRUST_9,C19_Infected_Binary,C19_SomeoneClose_Infected_Binary,Vax_Self,Vax_Self_Yes,Vax_Self_Maybe,Vax_Self_No,Vax_Self_Binary,Paranoia1,Paranoia2,Paranoia3,Paranoia4,Paranoia5,LOC1,LOC2,LOC3,LOC4,LOC5,LOC6,LOC7,LOC8,LOC9,Personality1,Personality2,Personality3,Personality4,Personality5,Personality6,Personality7,Personality8,Personality9,Personality10,CRT1,CRT2,CRT3,Trust_in_Irish_State,Conspiracy,Paranoia,Authoritarianism,IdentificationOthers,SocialDominance
0,0,0,2,1,1,1,1,4,1,1,1,1,1,5,1,1,10,10,3,4,5,5,5,5,5,5,5,5,1,1,2,1,1,2,2,0,11,11,6,10,11,1,2,2,1,1,4,3,2,2,0,0,0,1,0,0,0,1,1,3,1,4,5,6,4,5,3,2,4,3,5,2,2,2,3,2,4,3,3,4,3,6,1,6,10,49,10,10,44,12
1,1,0,2,2,1,1,2,2,1,2,1,1,2,1,1,1,7,8,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,2,0,4,9,7,5,4,3,3,3,2,2,2,2,2,3,0,0,0,1,0,0,0,1,1,1,1,1,5,3,5,3,5,3,4,6,2,5,4,2,2,2,5,2,4,4,5,1,1,1,15,29,5,10,36,10
0,1,1,3,2,1,1,1,3,3,2,2,4,1,3,4,1,7,7,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,0,10,8,8,3,3,1,2,2,2,1,3,3,2,2,0,0,0,1,0,0,0,1,1,2,3,2,5,3,3,1,3,2,6,3,5,2,3,2,2,2,3,3,5,1,5,1,1,1,16,32,9,11,19,20
1,1,1,2,5,2,1,5,5,1,1,2,3,1,4,4,2,1,3,4,3,3,3,4,4,5,4,4,4,1,1,3,1,1,3,4,0,9,10,9,11,7,3,4,3,1,1,4,4,2,2,0,1,2,0,0,1,1,4,5,5,5,2,7,3,6,3,1,2,4,2,6,4,4,1,4,1,2,2,4,5,5,5,7,5,14,46,21,20,34,18
1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,3,5,5,5,5,4,4,5,5,5,3,1,3,3,2,4,4,0,8,11,6,2,11,2,4,4,3,1,4,4,4,2,0,0,0,1,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,2,1,4,5,5,4,5,5,5,5,2,5,5,1,1,20,38,5,7,43,8
0,1,0,3,4,3,2,3,3,3,2,4,4,3,3,4,3,9,7,2,3,4,4,3,3,3,2,3,3,2,3,3,3,2,3,2,0,6,7,6,9,8,3,3,3,3,3,4,4,3,4,0,0,0,1,0,0,0,1,3,2,2,3,1,1,1,1,2,1,1,2,2,5,5,4,1,3,5,4,3,2,4,5,1,5,18,36,11,18,28,26
1,1,0,4,3,4,1,3,3,3,2,2,2,2,1,3,2,9,9,3,4,2,3,4,3,3,4,3,2,3,3,4,3,2,3,4,0,10,8,6,6,8,2,3,3,2,2,4,4,4,2,0,0,0,1,0,0,0,1,3,3,2,2,3,4,4,3,3,4,5,4,4,1,4,3,3,4,1,2,4,2,4,5,1,5,22,38,11,18,28,17
0,1,1,3,3,1,1,2,4,4,3,2,3,2,2,3,1,6,4,3,3,2,3,3,3,3,3,3,2,2,2,4,4,2,4,4,0,9,11,5,6,11,2,2,2,2,1,4,4,2,2,0,0,1,0,1,0,1,1,1,3,1,4,5,2,1,1,1,1,1,2,5,4,3,5,1,2,5,2,5,1,4,1,1,1,22,42,10,14,25,20
0,1,0,2,1,2,2,3,4,2,2,2,1,1,1,2,1,7,10,3,4,4,5,5,5,5,5,5,5,3,3,3,3,3,4,4,0,8,7,4,6,3,2,3,3,2,1,4,4,3,3,0,0,0,1,0,0,0,1,1,1,2,1,4,5,2,3,2,3,2,3,2,3,4,5,2,5,2,5,5,1,5,5,7,6,23,28,6,14,43,12
1,0,0,4,4,3,3,4,5,3,1,3,3,2,3,2,2,4,4,3,2,2,2,4,2,2,2,2,1,1,1,2,2,2,3,4,0,10,9,9,7,10,3,3,3,2,1,4,4,3,2,0,0,1,0,1,0,1,2,3,3,2,2,4,4,3,3,6,2,4,6,2,3,4,3,2,3,4,3,4,3,5,5,5,5,15,45,12,23,19,19
1,1,0,3,1,1,1,2,4,1,1,1,3,1,1,1,1,9,10,1,5,5,5,5,5,5,5,5,5,3,1,4,3,1,4,4,0,6,11,6,1,1,4,3,4,1,1,4,4,3,1,0,0,0,1,0,0,0,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,5,5,2,5,5,5,5,1,5,5,1,6,20,25,5,12,45,10
1,1,0,3,4,3,2,3,5,2,1,1,1,1,1,3,1,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,4,0,11,11,8,8,8,2,2,2,2,2,4,3,3,3,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,3,3,1,3,1,2,4,5,2,2,4,4,5,1,1,5,1,6,17,46,5,20,27,11
1,1,0,5,5,3,3,5,5,3,1,2,3,3,1,3,3,5,8,3,4,5,4,4,4,4,4,4,4,4,4,5,4,3,4,4,0,7,9,5,9,9,3,4,3,4,1,4,4,4,3,0,0,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,5,5,1,2,5,3,5,1,5,5,5,5,28,39,5,26,37,19
0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,7,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0,6,6,6,6,6,3,3,3,3,3,3,3,3,2,0,1,1,0,1,0,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,5,5,5,7,30,14,18,27,24
0,1,0,3,4,1,1,3,4,3,4,2,2,2,1,3,3,5,7,3,3,2,3,3,3,3,4,3,3,4,4,3,3,2,4,4,1,9,8,6,6,8,1,1,3,3,1,4,4,4,2,0,0,2,0,0,1,1,2,1,1,1,3,2,1,3,1,6,7,3,3,4,1,4,3,2,1,1,2,4,3,5,5,5,7,24,37,8,16,27,20
1,1,0,3,3,4,2,2,4,4,1,2,4,2,2,4,1,7,8,4,5,5,5,5,5,5,4,4,4,4,-99,4,4,4,4,4,0,8,8,7,7,6,3,4,4,1,2,4,4,3,3,0,0,0,1,0,0,0,1,2,1,1,2,5,1,5,1,2,2,3,3,2,2,4,4,2,4,4,4,4,3,5,5,5,5,-99,36,7,18,42,20
0,0,0,5,3,4,3,2,4,1,1,2,4,2,2,3,3,6,9,2,4,4,3,4,4,4,4,4,3,5,4,3,4,4,3,4,0,9,8,5,9,7,3,3,3,3,2,4,4,4,4,0,0,0,1,0,0,0,4,1,1,1,3,4,1,5,1,3,3,4,4,4,3,4,5,1,3,3,5,5,1,4,5,5,5,27,38,10,21,34,18
1,0,1,5,2,2,1,2,4,4,1,4,4,2,3,4,2,4,2,4,3,3,3,4,4,3,4,4,3,2,2,3,2,1,4,4,0,11,10,1,6,7,4,4,4,4,1,3,3,1,2,0,0,0,1,0,0,0,4,2,2,1,5,6,1,5,1,4,2,2,4,6,4,4,4,5,4,2,2,3,5,5,5,1,1,18,35,14,16,31,24
1,1,0,5,4,5,5,1,5,3,2,2,3,2,3,3,2,1,1,4,5,5,4,5,5,4,5,4,2,1,1,2,1,1,3,4,0,11,11,6,8,8,3,2,2,1,1,4,4,1,3,0,0,0,1,0,0,0,4,1,1,1,2,2,1,3,1,1,4,2,5,1,4,5,5,2,1,4,4,5,4,4,5,5,5,13,44,9,25,39,20
1,1,0,3,4,5,3,4,5,1,2,1,3,1,2,5,1,5,4,4,4,4,4,5,5,5,5,4,4,2,2,3,3,1,2,3,0,9,10,10,8,8,4,4,3,3,3,3,4,4,4,0,0,2,0,0,1,1,1,1,1,1,3,1,2,3,3,2,2,3,6,1,2,4,5,2,1,2,4,5,1,4,5,6,5,16,45,7,24,40,16
0,1,0,5,4,5,5,3,4,1,1,1,1,1,1,3,1,4,9,4,5,5,5,4,4,4,4,4,4,3,3,-99,4,2,4,5,0,10,9,10,7,3,2,4,4,1,1,4,4,4,3,0,0,0,1,0,0,0,1,3,4,4,4,1,1,1,1,1,2,1,2,1,1,4,4,5,1,1,5,4,1,3,5,5,5,-99,39,16,26,39,10
1,1,1,2,3,1,1,2,3,2,2,2,2,1,1,2,1,9,9,3,2,3,4,4,4,4,4,3,3,3,3,3,2,3,4,4,0,11,11,7,6,6,3,3,2,2,2,3,3,3,2,0,0,1,0,1,0,1,1,3,3,2,4,5,3,4,3,4,3,3,3,4,3,4,2,3,3,3,3,3,3,4,5,1,6,22,41,13,12,31,13
1,1,0,3,5,5,3,4,5,4,3,1,3,1,1,1,1,7,6,2,5,5,5,5,5,5,5,5,5,4,4,3,3,2,4,5,0,6,11,9,6,7,3,4,4,3,3,4,4,3,4,0,0,0,1,0,0,0,1,1,1,1,3,3,1,4,4,1,1,2,4,1,3,4,3,2,4,5,2,5,2,5,5,1,5,25,39,7,25,45,15
0,1,0,2,5,5,5,4,3,2,1,1,2,1,3,3,1,8,8,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,0,11,11,11,11,11,2,2,2,2,2,3,3,2,3,0,1,0,1,0,0,0,1,1,1,1,3,4,3,3,3,2,4,7,6,6,2,5,5,2,2,4,4,4,2,4,5,5,5,21,55,7,24,36,14
0,1,0,4,4,5,5,5,4,3,2,2,1,1,1,5,1,7,9,1,5,5,5,4,4,4,5,5,5,3,3,3,3,3,5,4,0,8,8,8,6,8,2,2,2,3,2,3,3,3,2,0,0,2,0,0,1,1,1,2,1,1,2,1,2,1,2,3,3,4,4,1,2,4,5,1,2,4,4,4,1,3,5,1,5,24,38,7,27,42,16
1,1,0,4,3,2,2,4,4,2,2,2,2,2,2,4,2,8,8,3,3,4,4,4,4,4,4,3,3,3,3,3,3,2,4,4,0,8,9,8,6,8,3,3,3,2,1,4,4,3,2,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,4,4,4,2,2,2,4,4,2,5,5,5,22,39,10,19,33,18
1,1,1,4,3,2,2,4,4,1,1,1,1,1,1,5,1,8,8,3,4,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,0,7,6,4,6,8,3,3,3,2,2,4,4,4,2,0,0,0,1,0,0,0,1,1,1,1,1,5,4,2,1,1,1,1,1,1,2,4,3,2,3,4,4,3,4,4,5,5,5,24,31,5,19,35,12
0,1,0,3,3,4,2,3,4,3,3,2,3,2,3,2,4,6,4,3,1,1,4,3,3,3,3,3,3,2,2,1,1,1,2,2,0,9,9,10,7,8,1,2,2,2,1,4,4,4,2,0,0,1,0,1,0,1,1,1,1,1,3,4,4,2,4,2,2,5,5,3,3,5,4,2,2,4,3,4,3,4,5,5,5,11,43,7,19,24,22
0,1,0,1,4,3,3,4,1,5,2,2,4,3,2,3,2,7,6,1,2,3,4,3,4,5,4,3,4,2,3,3,4,3,2,1,0,10,9,7,8,7,3,2,3,4,4,3,3,2,3,0,0,2,0,0,1,1,5,4,4,5,4,6,6,4,5,2,4,4,5,3,4,4,5,2,1,5,2,5,4,5,5,5,5,18,41,22,16,32,23
0,0,0,3,3,4,2,3,4,2,2,2,3,2,2,3,2,7,8,3,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3,4,0,6,3,4,6,6,3,3,3,2,2,2,2,3,3,0,0,0,1,0,0,0,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,3,4,5,6,5,20,25,15,19,36,18
0,1,0,5,4,5,2,4,4,1,2,2,3,2,4,4,1,3,1,5,3,4,3,3,3,3,4,3,2,2,1,1,2,2,2,4,0,11,11,9,9,7,2,2,2,2,1,3,3,2,3,1,1,0,1,0,0,0,1,1,4,1,4,5,1,3,2,2,2,5,3,3,2,5,5,1,2,4,5,5,1,3,5,5,5,14,47,11,24,28,19
0,1,0,5,3,2,3,2,4,3,2,2,2,2,3,2,2,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,2,2,3,4,0,9,9,9,9,8,3,3,3,3,1,4,3,2,3,0,0,0,1,0,0,0,2,2,2,2,3,2,4,5,4,3,3,5,4,5,2,5,5,2,2,4,3,4,3,3,5,5,5,20,44,11,19,32,18
1,1,0,4,2,1,1,4,4,2,2,3,3,2,2,4,3,5,5,4,3,4,4,3,3,3,4,3,3,2,1,1,2,1,4,4,0,7,4,6,7,6,2,2,2,2,1,4,3,3,3,0,0,0,1,0,0,0,2,4,2,1,5,5,1,5,1,2,1,4,2,2,1,5,4,1,5,4,2,5,2,5,5,1,6,15,30,14,16,30,21
0,0,0,3,3,5,2,4,3,3,3,2,3,3,4,4,2,8,8,3,4,3,3,3,3,3,3,3,4,2,2,1,1,2,4,1,0,7,9,6,6,10,3,3,3,3,3,2,2,4,3,0,0,1,0,1,0,1,3,3,4,4,5,4,2,3,6,2,4,7,5,5,3,3,4,4,4,1,3,3,2,3,5,7,5,13,38,19,20,29,24
1,1,0,2,4,3,1,3,5,3,2,3,2,2,2,3,2,5,7,3,4,4,4,4,2,3,3,4,3,2,4,4,4,4,4,4,0,6,6,4,4,5,4,4,4,3,3,4,4,4,4,0,0,1,0,1,0,1,3,4,3,1,4,4,2,4,4,2,2,5,3,4,1,5,5,2,5,2,3,4,4,3,5,5,5,26,25,15,18,31,19
0,1,0,2,4,4,2,2,4,4,3,2,4,3,3,3,1,6,7,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,5,5,0,7,5,6,6,6,3,3,3,3,4,3,3,2,4,0,0,0,1,0,0,0,4,3,4,3,3,5,4,3,3,4,4,5,3,5,2,4,3,3,3,4,4,4,4,4,5,1,5,27,30,17,18,36,23
0,0,0,4,4,4,2,2,4,4,1,2,2,2,2,2,2,7,7,4,4,5,5,4,4,4,5,5,5,4,4,4,3,3,4,5,0,7,8,7,7,6,3,3,3,1,1,4,4,3,3,0,0,0,1,0,0,0,1,1,1,1,2,5,4,4,2,2,2,4,3,4,2,5,4,2,4,4,5,4,2,4,5,5,5,27,35,6,20,41,17
0,1,1,3,4,1,1,4,4,4,1,1,1,2,1,1,1,8,8,4,5,5,4,4,4,4,4,4,4,4,4,4,3,3,4,5,0,10,10,5,2,2,3,4,4,1,1,3,3,4,2,0,0,0,1,0,0,0,3,3,1,1,1,5,1,5,5,2,2,6,7,7,2,5,5,2,2,3,3,5,4,5,5,5,6,27,29,9,17,38,12
0,1,0,2,4,3,3,4,4,4,2,2,3,2,2,4,2,5,7,4,3,4,3,4,3,3,4,3,3,2,3,3,3,3,2,2,0,6,5,5,5,5,2,2,3,2,2,4,4,3,3,0,0,1,0,1,0,1,3,2,1,1,2,3,4,3,5,3,3,5,5,5,2,3,4,2,3,3,4,5,4,5,1,5,1,18,26,9,20,30,21
1,1,0,5,5,3,2,4,5,4,2,4,4,1,5,5,3,4,6,3,2,4,3,3,3,3,3,3,2,4,4,4,4,3,4,4,0,5,7,5,5,5,3,4,4,3,2,4,4,4,3,0,0,0,1,0,0,0,5,5,4,5,4,5,5,5,5,4,3,5,4,6,2,2,2,2,4,2,1,5,4,4,5,5,5,27,27,23,24,26,28
1,1,0,2,3,1,1,3,3,1,1,1,2,1,1,1,1,8,8,2,3,3,3,3,3,3,3,3,3,1,1,3,3,1,4,4,0,5,8,3,3,4,3,3,3,2,2,4,4,3,2,0,0,0,1,0,0,0,3,4,3,2,2,3,2,5,2,3,2,4,3,3,2,3,2,4,1,2,3,4,4,5,1,1,1,17,23,14,13,27,9
1,0,0,5,4,4,1,1,4,4,1,2,3,2,5,4,1,2,1,4,1,5,3,1,3,1,1,3,1,2,1,5,5,2,4,5,0,11,11,9,7,11,3,4,4,1,1,4,3,4,3,0,0,0,1,0,0,0,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,5,5,4,4,5,5,5,4,4,5,5,5,24,49,8,19,19,22
1,0,1,4,3,4,3,4,4,3,2,2,3,2,3,3,3,4,4,3,3,4,3,2,2,2,2,2,2,3,4,4,3,3,4,4,0,6,4,4,6,4,2,4,3,1,1,4,4,3,2,0,0,1,0,1,0,1,2,2,3,1,2,1,2,6,2,2,2,3,3,3,2,4,5,2,3,3,5,5,1,3,5,5,5,25,24,10,22,22,21
0,1,0,4,5,2,1,2,5,3,2,2,2,1,1,2,1,3,4,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,0,6,6,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,3,1,2,1,1,5,2,5,1,3,3,2,4,2,5,5,3,1,5,5,3,4,1,4,5,5,6,28,24,8,19,44,14
0,1,0,1,5,5,2,2,4,4,2,2,5,1,5,5,1,10,10,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,0,11,11,11,11,11,3,3,3,4,4,4,4,4,4,0,0,0,1,0,0,0,5,5,5,5,5,7,7,7,7,1,1,7,1,7,1,5,2,2,2,4,2,4,4,4,5,5,5,32,55,25,19,45,25
1,1,0,4,5,4,1,2,5,3,1,2,2,2,1,4,1,5,6,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,4,0,8,8,9,7,5,2,4,4,2,2,4,4,4,2,0,0,0,1,0,0,0,2,4,2,4,5,5,5,6,4,2,1,2,3,6,2,3,5,5,3,2,4,4,5,5,5,6,5,17,37,17,21,36,16
0,0,0,2,5,5,1,3,5,4,1,1,4,1,5,4,1,6,6,4,5,5,4,4,3,4,5,4,3,2,1,2,2,2,4,5,0,4,8,9,7,9,3,3,3,2,1,4,3,3,3,0,0,1,0,1,0,1,4,4,5,4,5,5,6,5,3,3,2,5,5,5,4,4,5,1,2,5,3,5,1,4,5,5,5,18,37,22,21,37,21
0,0,0,2,4,5,3,2,5,3,3,2,2,1,1,3,2,5,6,4,4,4,4,5,4,4,5,4,4,3,2,3,2,3,2,2,0,8,9,8,8,9,3,3,3,4,3,3,3,3,2,0,0,0,1,0,0,0,4,3,2,1,3,5,4,4,3,3,3,3,4,5,2,4,3,2,2,3,3,3,4,3,5,1,6,17,42,13,21,38,17
1,0,0,3,4,3,4,3,3,3,3,1,2,1,3,2,2,6,6,3,4,3,3,4,4,4,4,4,4,3,3,5,3,3,-99,4,0,6,9,6,6,6,1,4,4,1,1,4,4,4,4,0,0,0,1,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,3,3,3,5,7,5,-99,33,5,20,34,17
0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,6,6,6,6,6,3,3,3,3,3,3,3,3,3,0,0,1,0,1,0,1,3,3,3,3,3,4,4,4,4,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,5,5,5,21,30,15,18,27,24
0,0,0,4,4,4,4,2,4,4,2,2,3,2,4,3,2,7,7,4,4,4,4,4,4,4,3,3,3,4,3,5,5,3,5,5,0,7,8,7,6,6,4,4,1,1,1,4,4,4,3,0,0,0,1,0,0,0,4,3,3,3,3,4,4,5,4,3,3,4,4,4,2,4,4,2,4,3,4,4,2,4,1,7,5,30,34,16,22,33,22
1,0,1,1,1,3,1,1,5,2,1,2,1,1,3,1,5,8,8,2,4,4,5,4,4,4,3,4,4,1,1,2,2,3,4,5,0,6,7,9,9,9,2,2,2,2,2,4,4,3,2,0,0,2,0,0,1,1,4,5,3,4,4,5,1,2,1,3,1,1,3,5,5,4,4,3,5,5,1,4,3,2,5,5,5,18,40,20,12,36,16
1,1,0,3,3,1,3,4,4,3,2,3,4,2,2,4,1,8,7,2,3,4,5,4,4,4,4,4,4,3,2,3,3,2,4,4,0,8,8,6,6,6,3,4,4,3,1,4,4,3,3,0,0,0,1,0,0,0,1,1,3,1,4,3,2,2,2,2,2,1,1,1,2,4,3,2,2,2,5,4,1,3,5,5,5,21,34,10,18,36,21
1,1,0,2,1,2,2,1,1,1,1,1,1,1,1,2,1,7,10,3,4,4,5,5,5,5,4,4,5,1,1,1,3,1,2,3,0,11,10,10,11,11,3,3,3,2,2,4,4,3,3,0,0,0,1,0,0,0,3,2,1,1,2,1,1,4,1,4,3,1,3,1,1,3,4,4,3,2,3,4,2,4,5,5,7,12,53,9,9,41,9
