pid,Age_Years,Age_categories,Gender,Other_gender,Sex,Province,Nationality,GrowUp_Ireland,Area_Residence,Ethnicity,Ethnicity_Binary,Ethnic_Recode,Education,Education_Binary,Occupation,Occupation_Binary,Adults_household,Only_Adult_House,Children_household,Child_2,No_Child_House,Living_Alone,Income_2019,MH_therapy,Religious,Religion_Binary,Voted_GenElection,Voted_Binary,Authoritarianism1,Authoritarianism2,Authoritarianism3,Authoritarianism4,Authoritarianism5,Authoritarianism6,Social_Dominace1,Social_Dominance2,Social_Dominance3,Social_Dominance4,Social_Dominance5,Social_Dominance6,Social_Dominance7,Social_Dominance8,MigrantAttitudes1,MigrantAttitudes2,MigrantAttitudes3,IWAH1,IWAH2,IWAH3,IWAH4,IWAH5,IWAH6,IWAH7,IWAH8,IWAH9,Trust_Body1,Trust_Body2,Trust_Body3,Trust_Body4,Trust_Body5,Trust_Body6,Trust_Body7,ReligiousBelief1,ReligiousBelief2,ReligiousBelief3,ReligiousBelief4,ReligiousBelief5,ReligiousBelief6,ReligiousBelief7,ReligiousBelief8,Chronic_Illness_self,Chronic_illness_family,Pregnant,Conspiracy_1,Conspiracy_2,Conspiracy_3,Conspiracy_4,Conspiracy_5,INFO_1,INFO_2,INFO_3,INFO_4,INFO_5,INFO_6,INFO_7,INFO_8,INFO_9,TRUST_1,TRUST_2,TRUST_3,TRUST_4,TRUST_5,TRUST_6,TRUST_7,TRUST_8,TRUST_9,C19_Infected,C19_Infected_Binary,C19_SomeoneClose_Infected,C19_SomeoneClose_Infected_Binary,Vax_Self,Vax_Self_Yes,Vax_Self_Maybe,Vax_Self_No,Vax_Self_Binary,Paranoia1,Paranoia2,Paranoia3,Paranoia4,Paranoia5,LOC1,LOC2,LOC3,LOC4,LOC5,LOC6,LOC7,LOC8,LOC9,Personality1,Personality2,Personality3,Personality4,Personality5,Personality6,Personality7,Personality8,Personality9,Personality10,CRT1,CRT2,CRT3,Conspiracy,Paranoia,Authoritarianism,IdentificationOthers,SocialDominance,Sex,Pregnant
1301360510,48,4,1, ,0,3,0,0,3,1,0,0,4,1,26,1,3,0,1,0,1,0,4,1,6,0,1,0,1,3,1,1,2,4,3,1,1,3,1,3,3,1,8,10,3,4,4,4,5,5,5,5,5,5,1,1,3,3,3,4,4,4,2,5,1,5,1,5,1,1,1,1,6,8,8,8,9,4,4,2,3,2,1,3,3,2,3,3,3,2,2,4,4,3,3,2,0,1,0,0,1,0,0,0,3,3,4,3,3,5,4,3,3,3,3,3,3,5,1,4,2,3,2,5,3,5,2,5,5,5,1,39,16,12,42,16,0,1
1305880408,67,6,2, ,1,1,0,0,2,1,0,0,3,0,22,0,5,0,1,0,1,0,1,1,1,1,1,0,3,4,4,2,3,5,2,2,2,2,1,1,4,4,8,8,4,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,1,5,2,1,2,4,4,4,0,0,0,4,3,6,3,6,2,4,4,4,2,1,4,4,3,3,4,4,3,2,4,4,4,3,2,0,1,0,0,1,0,0,0,1,1,1,1,1,3,4,3,2,2,2,4,2,5,4,5,3,4,2,3,3,4,1,4,5,5,5,22,5,21,42,18,1,0
1309210429,49,4,1, ,0,3,1,0,3,1,0,0,8,1,19,0,2,0,1,0,1,0,1,1,6,0,2,1,4,4,2,1,4,5,4,1,1,1,1,4,3,3,9,7,5,1,1,1,5,3,3,5,4,3,4,4,4,1,3,4,5,5,5,5,5,5,1,5,1,0,0,0,11,8,6,6,11,1,3,1,4,2,4,3,4,2,2,2,2,4,1,4,3,4,3,2,0,1,0,0,1,0,0,0,1,3,3,1,3,4,5,5,4,4,2,4,1,4,4,5,1,4,4,5,4,4,4,2,1,6,5,42,11,20,26,18,0,0
1309229846,68,6,1, ,0,1,0,0,4,1,0,0,3,0,22,0,2,0,1,0,1,0,2,1,1,1,1,0,4,3,2,2,4,5,2,4,2,2,1,1,2,2,8,8,4,5,5,4,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,1,2,2,4,2,0,1,0,8,8,5,5,4,4,4,4,2,1,3,3,3,4,4,4,4,2,1,4,4,4,3,2,0,1,0,0,1,0,0,0,1,2,2,1,3,5,5,3,5,2,2,3,2,3,4,5,1,4,2,4,2,4,2,4,1,1,1,30,9,20,44,16,0,0
1316130781,34,2,1, ,0,1,0,0,1,1,0,0,6,1,18,0,2,0,2,1,0,0,6,1,7,0,1,0,4,3,1,1,5,5,1,1,1,1,1,1,1,1,1,1,5,5,4,3,5,4,3,5,4,3,4,4,4,4,4,5,4,2,1,5,1,5,3,3,1,0,0,0,9,9,5,2,2,3,2,1,3,1,1,1,3,3,3,3,3,3,1,4,3,3,3,2,0,1,0,0,1,0,0,0,1,3,2,3,5,2,1,1,1,2,1,2,2,3,4,3,2,4,4,4,4,4,2,4,1,5,1,27,14,19,36,8,0,0
1319613125,62,5,1, ,0,1,0,0,2,1,0,0,3,0,22,0,3,0,1,0,1,0,3,1,6,0,1,0,2,1,1,1,1,4,1,1,1,1,1,5,1,1,10,10,3,4,5,5,5,5,5,5,5,5,1,1,2,1,1,2,2,5,2,5,1,5,3,5,1,1,0,0,11,11,6,10,11,3,3,3,3,3,3,3,3,3,1,2,2,1,1,4,3,2,2,2,0,1,0,0,1,0,0,0,1,1,3,1,4,5,6,4,5,3,2,4,3,5,4,2,4,3,4,4,3,3,4,3,6,1,6,49,10,10,44,12,0,0
1320038314,25,2,2, ,1,2,0,0,1,1,0,0,4,1,18,0,2,0,1,0,1,0,3,1,7,0,1,0,2,2,1,1,2,2,1,2,1,1,2,1,1,1,7,8,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,2,3,2,4,1,4,4,4,4,0,0,0,4,9,7,5,4,2,2,2,4,3,1,2,2,3,3,3,3,2,2,2,2,2,3,2,0,1,0,0,1,0,0,0,1,1,1,1,1,5,3,5,3,5,3,4,6,2,1,4,4,4,4,5,4,4,4,5,1,1,1,29,5,10,36,10,1,0
1324728464,60,5,1, ,0,1,1,1,1,6,1,1,8,1,24,1,2,0,1,0,1,0,1,2,6,0,1,0,3,2,1,1,1,3,3,2,2,4,1,3,4,1,7,7,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,1,5,1,-99,1,5,1,0,0,0,10,8,8,3,3,1,2,1,3,3,1,1,2,1,1,2,2,2,1,3,3,2,2,2,0,1,0,0,1,0,0,0,1,1,2,3,2,5,3,3,1,3,2,6,3,5,4,3,4,4,4,3,3,5,1,5,1,1,1,32,9,11,19,20,0,0
1327572734,24,1,2, ,1,2,0,0,3,1,0,0,8,1,21,1,1,1,2,1,0,0,1,3,6,0,2,1,2,5,2,1,5,5,1,1,2,3,1,4,4,2,1,3,4,3,3,3,4,4,5,4,4,4,1,1,3,1,1,3,4,2,1,5,1,5,1,5,1,0,0,0,9,10,9,11,7,1,3,1,4,4,1,2,1,3,3,4,3,1,1,4,4,2,2,2,0,4,1,2,0,0,1,1,4,5,5,5,2,7,3,6,3,1,2,4,2,6,2,4,5,2,5,2,4,4,5,5,5,7,5,46,21,20,34,18,1,0
1327924369,43,3,2, ,1,3,0,0,4,1,0,0,6,1,18,0,2,0,3,2,0,0,6,2,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,3,5,5,5,5,4,4,5,5,5,3,1,3,3,2,4,4,3,2,4,1,2,1,2,2,0,1,0,8,11,6,2,11,1,4,3,2,1,1,3,4,2,2,4,4,3,1,4,4,4,2,2,0,1,0,0,1,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,5,1,2,1,5,1,5,2,5,5,1,1,38,5,7,43,8,1,0
1330734889,33,2,1, ,0,2,1,1,1,6,1,1,6,1,18,0,3,0,1,0,1,0,2,1,1,1,2,1,3,4,3,2,3,3,3,2,4,4,3,3,4,3,9,7,2,3,4,4,3,3,3,2,3,3,2,3,3,3,2,3,2,2,4,3,3,2,3,3,3,0,0,0,6,7,6,9,8,3,1,1,3,4,1,1,2,2,3,3,3,3,3,4,4,3,4,2,0,1,0,0,1,0,0,0,1,3,2,2,3,1,1,1,1,2,1,1,2,2,1,5,2,5,3,5,2,3,2,4,5,1,5,36,11,18,28,26,0,0
1333304728,55,5,2, ,1,4,1,1,4,6,1,1,8,1,19,0,6,0,1,0,1,0,4,1,1,1,1,0,4,3,4,1,3,3,3,2,2,2,2,1,3,2,9,9,3,4,2,3,4,3,3,4,3,2,3,3,4,3,2,3,4,2,1,5,1,3,3,3,4,0,0,0,10,8,6,6,8,3,4,4,3,3,4,4,3,2,2,3,3,2,2,4,4,4,2,2,0,1,0,0,1,0,0,0,1,3,3,2,2,3,4,4,3,3,4,5,4,4,5,4,3,3,2,1,4,4,2,4,5,1,5,38,11,18,28,17,1,0
1335143459,42,3,1, ,0,2,0,0,4,1,0,0,4,1,20,1,2,0,2,1,0,0,2,1,7,0,2,1,3,3,1,1,2,4,4,3,2,3,2,2,3,1,6,4,3,3,2,3,3,3,3,3,3,2,2,2,4,4,2,4,4,3,2,4,1,4,2,4,1,0,0,0,9,11,5,6,11,1,4,2,3,1,1,1,3,1,2,2,2,2,1,4,4,2,2,3,0,1,0,1,0,1,0,1,1,1,3,1,4,5,2,1,1,1,1,1,2,5,2,3,1,5,4,5,4,5,1,4,1,1,1,42,10,14,25,20,0,0
1336626665,68,6,1, ,0,2,0,0,3,1,0,0,8,1,22,0,2,0,2,1,0,0,3,1,8,1,1,0,2,1,2,2,3,4,2,2,2,1,1,1,2,1,7,10,3,4,4,5,5,5,5,5,5,5,3,3,3,3,3,4,4,2,4,3,1,3,4,3,4,0,0,0,8,7,4,6,3,3,4,4,2,1,3,3,4,2,2,3,3,2,1,4,4,3,3,2,0,1,0,0,1,0,0,0,1,1,1,2,1,4,5,2,3,2,3,2,3,2,3,4,1,4,1,2,1,5,1,5,5,7,6,28,6,14,43,12,0,0
1343706286,63,5,2, ,1,3,0,0,4,1,0,0,3,0,22,0,1,1,1,0,1,1,1,2,1,1,1,0,4,4,3,3,4,5,3,1,3,3,2,3,2,2,4,4,3,2,2,2,4,2,2,2,2,1,1,1,2,2,2,3,4,1,4,3,1,1,3,3,4,0,0,0,10,9,9,7,10,1,4,3,3,3,1,2,1,1,3,3,3,2,1,4,4,3,2,2,0,1,0,1,0,1,0,1,2,3,3,2,2,4,4,3,3,6,2,4,6,2,3,4,3,4,3,4,3,4,3,5,5,5,5,45,12,23,19,19,1,0
1357212828,58,5,2, ,1,2,0,0,2,1,0,0,4,1,18,0,2,0,1,0,1,0,2,1,1,1,1,0,3,1,1,1,2,4,1,1,1,3,1,1,1,1,9,10,1,5,5,5,5,5,5,5,5,5,3,1,4,3,1,4,4,2,5,5,1,3,4,3,3,0,0,0,6,11,6,1,1,4,4,4,1,1,1,4,4,1,4,3,4,1,1,4,4,3,1,2,0,1,0,0,1,0,0,0,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,5,1,4,1,5,1,5,1,5,5,1,6,25,5,12,45,10,1,0
1363530040,49,4,2, ,1,2,0,0,4,1,0,0,8,1,18,0,3,0,1,0,1,0,7,1,1,1,1,0,3,4,3,2,3,5,2,1,1,1,1,1,3,1,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,0,0,0,11,11,8,8,8,3,3,3,3,3,1,3,3,3,2,2,2,2,2,4,3,3,3,2,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,3,3,1,3,1,4,4,1,4,4,4,2,5,1,1,5,1,6,46,5,20,27,11,1,0
1366147953,72,6,2, ,1,1,0,0,3,1,0,0,5,1,22,0,2,0,1,0,1,0,2,1,8,1,1,0,5,5,3,3,5,5,3,1,2,3,3,1,3,3,5,8,3,4,5,4,4,4,4,4,4,4,4,4,5,4,3,4,4,2,5,1,1,1,5,3,3,0,0,0,7,9,5,9,9,4,3,3,4,1,1,1,4,4,3,4,3,4,1,4,4,4,3,2,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,5,1,5,4,5,3,5,1,5,5,5,5,39,5,26,37,19,1,0
1367415683,38,3,1,male,0,3,0,0,3,1,0,0,2,0,21,1,2,0,3,2,0,0,1,4,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,7,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,0,0,0,6,6,6,6,6,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,0,3,1,1,0,1,0,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,5,5,5,30,14,18,27,24,0,0
1367770196,23,1,1, ,0,3,1,0,4,2,1,1,4,1,19,0,4,0,3,2,0,0,1,1,6,0,2,1,3,4,1,1,3,4,3,4,2,2,2,1,3,3,5,7,3,3,2,3,3,3,3,4,3,3,4,4,3,3,2,4,4,5,2,5,2,5,5,5,2,1,1,1,9,8,6,6,8,1,1,3,3,1,2,1,4,4,1,1,3,3,1,4,4,4,2,2,0,1,0,2,0,0,1,1,2,1,1,1,3,2,1,3,1,6,7,3,3,4,5,4,3,4,5,1,4,4,3,5,5,5,7,37,8,16,27,20,0,1
1375047185,75,6,2, ,1,2,0,0,1,1,0,0,4,1,22,0,1,1,1,0,1,1,1,1,1,1,1,0,3,3,4,2,2,4,4,1,2,4,2,2,4,1,7,8,4,5,5,5,5,5,5,4,4,4,4,-99,4,4,4,4,4,3,2,3,1,3,2,3,2,0,0,0,8,8,7,7,6,3,4,3,1,1,2,2,3,3,3,4,4,1,2,4,4,3,3,2,0,1,0,0,1,0,0,0,1,2,1,1,2,5,1,5,1,2,2,3,3,2,4,4,2,4,2,4,2,4,3,5,5,5,5,36,7,18,42,20,1,0
1375084651,66,6,1, ,0,2,0,0,4,1,0,0,2,0,28,0,3,0,1,0,1,0,4,1,1,1,1,0,5,3,4,3,2,4,1,1,2,4,2,2,3,3,6,9,2,4,4,3,4,4,4,4,4,3,5,4,3,4,4,3,4,3,4,2,2,2,3,2,4,0,0,0,9,8,5,9,7,4,4,4,4,3,3,3,4,3,3,3,3,3,2,4,4,4,4,2,0,1,0,0,1,0,0,0,4,1,1,1,3,4,1,5,1,3,3,4,4,4,3,4,1,5,3,3,1,5,1,4,5,5,5,38,10,21,34,18,0,0
1376653464,35,3,2, ,1,2,1,1,3,6,1,1,3,0,20,1,2,0,4,3,0,0,1,2,6,0,4,0,5,2,2,1,2,4,4,1,4,4,2,3,4,2,4,2,4,3,3,3,4,4,3,4,4,3,2,2,3,2,1,4,4,5,1,5,1,5,2,4,1,0,0,0,11,10,1,6,7,4,4,1,4,1,1,1,1,1,4,4,4,4,1,3,3,1,2,3,0,1,0,0,1,0,0,0,4,2,2,1,5,6,1,5,1,4,2,2,4,6,2,4,2,1,2,2,4,3,5,5,5,1,1,35,14,16,31,24,1,0
1380181361,75,6,2, ,1,4,0,0,4,1,0,0,8,1,22,0,2,0,1,0,1,0,1,4,1,1,1,0,5,4,5,5,1,5,3,2,2,3,2,3,3,2,1,1,4,5,5,4,5,5,4,5,4,2,1,1,2,1,1,3,4,1,5,1,5,1,5,5,3,0,0,0,11,11,6,8,8,4,4,4,1,3,1,3,4,4,3,2,2,1,1,4,4,1,3,1,0,1,0,0,1,0,0,0,4,1,1,1,2,2,1,3,1,1,4,2,5,1,2,5,1,4,5,4,2,5,4,4,5,5,5,44,9,25,39,20,1,0
1382374861,67,6,2, ,1,1,1,0,3,5,1,3,6,1,22,0,2,0,1,0,1,0,1,1,4,1,2,1,3,4,5,3,4,5,1,2,1,3,1,2,5,1,5,4,4,4,4,4,5,5,5,5,4,4,2,2,3,3,1,2,3,1,5,2,1,1,5,-99,4,1,0,0,9,10,10,8,8,3,4,3,3,4,1,2,4,4,4,4,3,3,3,3,4,4,4,2,0,1,0,2,0,0,1,1,1,1,1,1,3,1,2,3,3,2,2,3,6,1,4,4,1,4,5,2,2,5,1,4,5,6,5,45,7,24,40,16,1,0
1387076111,63,5,1, ,0,1,0,0,2,1,0,0,5,1,18,0,2,0,1,0,1,0,3,1,8,1,2,1,5,4,5,5,3,4,1,1,1,1,1,1,3,1,4,9,4,5,5,5,4,4,4,4,4,4,3,3,-99,4,2,4,5,1,5,1,4,1,4,1,5,0,0,0,10,9,10,7,3,2,4,3,2,2,1,2,3,1,2,4,4,1,1,4,4,4,3,2,0,1,0,0,1,0,0,0,1,3,4,4,4,1,1,1,1,1,2,1,2,1,5,4,2,1,5,1,1,4,1,3,5,5,5,39,16,26,39,10,0,0
1392057989,30,2,2, ,1,1,1,1,1,6,1,1,6,1,20,1,2,0,1,0,1,0,9,2,6,0,4,0,2,3,1,1,2,3,2,2,2,2,1,1,2,1,9,9,3,2,3,4,4,4,4,4,3,3,3,3,3,2,3,4,4,3,2,5,1,3,2,3,3,0,0,0,11,11,7,6,6,3,3,1,2,2,1,2,3,2,3,3,2,2,2,3,3,3,2,3,0,1,0,1,0,1,0,1,1,3,3,2,4,5,3,4,3,4,3,3,3,4,3,4,4,3,3,3,3,3,3,4,5,1,6,41,13,12,31,13,1,0
1392679736,73,6,2, ,1,3,0,0,4,1,0,0,8,1,22,0,2,0,1,0,1,0,4,1,8,1,1,0,3,5,5,3,4,5,4,3,1,3,1,1,1,1,7,6,2,5,5,5,5,5,5,5,5,5,4,4,3,3,2,4,5,1,5,2,3,1,5,1,5,0,0,0,6,11,9,6,7,3,4,4,4,4,1,1,1,1,3,4,4,3,3,4,4,3,4,2,0,1,0,0,1,0,0,0,1,1,1,1,3,3,1,4,4,1,1,2,4,1,3,4,3,4,2,5,4,5,2,5,5,1,5,39,7,25,45,15,1,0
1392683122,46,4,1, ,0,2,1,0,4,6,1,1,8,1,18,0,2,0,3,2,0,0,2,1,8,1,1,0,2,5,5,5,4,3,2,1,1,2,1,3,3,1,8,8,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,11,11,11,11,11,2,3,3,4,4,3,3,2,2,2,2,2,2,2,3,3,2,3,2,0,4,1,0,1,0,0,0,1,1,1,1,3,4,3,3,3,2,4,7,6,6,4,5,1,4,4,4,2,4,2,4,5,5,5,55,7,24,36,14,0,0
1395323471,35,3,1, ,0,2,1,1,1,7,1,2,6,1,18,0,2,0,1,0,1,0,4,1,1,1,4,0,4,4,5,5,5,4,3,2,2,1,1,1,5,1,7,9,1,5,5,5,4,4,4,5,5,5,3,3,3,3,3,5,4,1,5,1,5,1,5,1,5,0,0,0,8,8,8,6,8,1,4,2,3,3,1,3,3,2,2,2,2,3,2,3,3,3,2,2,0,1,0,2,0,0,1,1,1,2,1,1,2,1,2,1,2,3,3,4,4,1,4,4,1,5,4,4,2,4,1,3,5,1,5,38,7,27,42,16,0,0
1397149082,55,5,2, ,1,1,1,1,3,1,0,0,4,1,18,0,4,0,1,0,1,0,2,1,1,1,1,0,4,3,2,2,4,4,2,2,2,2,2,2,4,2,8,8,3,3,4,4,4,4,4,4,3,3,3,3,3,3,2,4,4,3,4,3,2,2,3,3,3,0,1,0,8,9,8,6,8,2,2,2,3,1,1,1,2,2,3,3,3,2,1,4,4,3,2,2,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,4,4,2,2,4,2,4,4,4,2,5,5,5,39,10,19,33,18,1,0
1397400325,56,5,2, ,1,1,0,0,2,1,0,0,5,1,24,1,4,0,1,0,1,0,3,3,1,1,1,0,4,3,2,2,4,4,1,1,1,1,1,1,5,1,8,8,3,4,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,2,5,3,3,1,3,2,4,0,0,0,7,6,4,6,8,3,4,3,1,2,1,2,3,2,3,3,3,2,2,4,4,4,2,2,0,1,0,0,1,0,0,0,1,1,1,1,1,5,4,2,1,1,1,1,1,1,4,4,3,4,3,4,2,3,4,4,5,5,5,31,5,19,35,12,1,0
